Year,Month,Imports,Exports
1952,Jan,385,197
1952,Feb,332,211
1952,Mar,284,240
1952,Apr,285,216
1952,May,301,232
1952,Jun,268,214
1952,Jul,307,262
1952,Aug,280,229
1952,Sep,340,285
1952,Oct,309,262
1952,Nov,301,258
1952,Dec,388,294
1953,Jan,378,262
1953,Feb,326,228
1953,Mar,385,285
1953,Apr,362,271
1953,May,315,267
1953,Jun,361,236
1953,Jul,306,220
1953,Aug,269,172
1953,Sep,299,173
1953,Oct,296,212
1953,Nov,270,201
1953,Dec,306,207
1954,Jan,269,200
1954,Feb,230,176
1954,Mar,286,206
1954,Apr,276,186
1954,May,275,202
1954,Jun,302,193
1954,Jul,288,198
1954,Aug,271,200
1954,Sep,306,215
1954,Oct,298,209
1954,Nov,301,217
1954,Dec,335,214
1955,Jan,314,204
1955,Feb,295,195
1955,Mar,326,204
1955,Apr,311,187
1955,May,295,202
1955,Jun,303,193
1955,Jul,267,190
1955,Aug,296,218
1955,Sep,307,225
1955,Oct,314,224
1955,Nov,341,245
1955,Dec,350,246
1956,Jan,386,251
1956,Feb,330,242
1956,Mar,391,284
1956,Apr,431,319
1956,May,428,308
1956,Jun,372,242
1956,Jul,347,250
1956,Aug,385,266
1956,Sep,338,251
1956,Oct,382,233
1956,Nov,387,266
1956,Dec,389,297
1957,Jan,478,305
1957,Feb,444,245
1957,Mar,473,284
1957,Apr,466,263
1957,May,438,255
1957,Jun,400,226
1957,Jul,417,240
1957,Aug,388,209
1957,Sep,399,238
1957,Oct,428,259
1957,Nov,411,254
1957,Dec,407,238
1958,Jan,405,237
1958,Feb,345,236
1958,Mar,368,221
1958,Apr,388,245
1958,May,370,230
1958,Jun,354,235
1958,Jul,362,247
1958,Aug,339,235
1958,Sep,376,249
1958,Oct,402,266
1958,Nov,385,264
1958,Dec,498,324
1959,Jan,334,233
1959,Feb,331,205
1959,Mar,336,224
1959,Apr,427,288
1959,May,377,264
1959,Jun,418,262
1959,Jul,430,282
1959,Aug,392,265
1959,Sep,483,297
1959,Oct,455,319
1959,Nov,460,304
1959,Dec,508,335
1960,Jan,453,307
1960,Feb,481,313
1960,Mar,527,354
1960,Apr,481,318
1960,May,511,352
1960,Jun,477,296
1960,Jul,466,345
1960,Aug,485,329
1960,Sep,497,342
1960,Oct,458,321
1960,Nov,513,323
1960,Dec,515,336
1961,Jan,498,345
1961,Feb,415,293
1961,Mar,516,316
1961,Apr,501,296
1961,May,557,315
1961,Jun,522,320
1961,Jul,490,338
1961,Aug,465,345
1961,Sep,483,331
1961,Oct,495,347
1961,Nov,524,362
1961,Dec,506,323
1962,Jan,592,381
1962,Feb,503,307
1962,Mar,595,377
1962,Apr,544,313
1962,May,584,386
1962,Jun,524,341
1962,Jul,515,354
1962,Aug,543,374
1962,Sep,528,369
1962,Oct,588,418
1962,Nov,629,403
1962,Dec,513,366
1963,Jan,614,415
1963,Feb,514,368
1963,Mar,590,380
1963,Apr,595,376
1963,May,634,451
1963,Jun,620,384
1963,Jul,657,442
1963,Aug,543,401
1963,Sep,625,440
1963,Oct,645,470
1963,Nov,662,449
1963,Dec,713,415
1964,Jan,696,506
1964,Feb,649,437
1964,Mar,693,413
1964,Apr,764,502
1964,May,674,458
1964,Jun,769,469
1964,Jul,716,524
1964,Aug,649,447
1964,Sep,719,477
1964,Oct,704,510
1964,Nov,717,495
1964,Dec,799,546
1965,Jan,789,541
1965,Feb,622,486
1965,Mar,828,552
1965,Apr,685,477
1965,May,856,564
1965,Jun,713,508
1965,Jul,679,529
1965,Aug,684,534
1965,Sep,736,540
1965,Oct,787,610
1965,Nov,818,592
1965,Dec,769,597
1966,Jan,688,581
1966,Feb,771,522
1966,Mar,785,592
1966,Apr,759,511
1966,May,767,593
1966,Jun,813,587
1966,Jul,741,563
1966,Aug,926,675
1966,Sep,1081,780
1966,Oct,987,765
1966,Nov,899,741
1966,Dec,880,653
1967,Jan,845,728
1967,Feb,1058,721
1967,Mar,935,620
1967,Apr,863,649
1967,May,890,695
1967,Jun,874,746
1967,Jul,733,657
1967,Aug,661,722
1967,Sep,685,734
1967,Oct,821,773
1967,Nov,1038,778
1967,Dec,1047,957
1968,Jan,770,708
1968,Feb,1044,705
1968,Mar,942,723
1968,Apr,928,831
1968,May,1106,874
1968,Jun,980,817
1968,Jul,1001,892
1968,Aug,1068,876
1968,Sep,1073,1045
1968,Oct,1226,1064
1968,Nov,1095,959
1968,Dec,1238,1076
1969,Jan,999,863
1969,Feb,1029,911
1969,Mar,1046,934
1969,Apr,1123,962
1969,May,1159,1054
1969,Jun,1337,1032
1969,Jul,1252,1093
1969,Aug,1224,1130
1969,Sep,1309,1322
1969,Oct,1435,1349
1969,Nov,1468,1354
1969,Dec,1512,1191
1970,Jan,1199,1024
1970,Feb,1416,1129
1970,Mar,1259,1078
1970,Apr,1404,1213
1970,May,1483,1279
1970,Jun,1492,1257
1970,Jul,1514,1278
1970,Aug,1468,1338
1970,Sep,1458,1478
1970,Oct,1515,1473
1970,Nov,1723,1394
1970,Dec,1676,1298
1971,Jan,1433,1150
1971,Feb,1617,1240
1971,Mar,1676,1248
1971,Apr,1768,1330
1971,May,1773,1499
1971,Jun,1801,1488
1971,Jul,1701,1557
1971,Aug,1594,1584
1971,Sep,1631,1537
1971,Oct,1752,1623
1971,Nov,1785,1516
1971,Dec,1726,1392
1972,Jan,1531,1434
1972,Feb,1567,1389
1972,Mar,1675,1362
1972,Apr,1742,1336
1972,May,1867,1606
1972,Jun,1925,1679
1972,Jul,1860,1681
1972,Aug,1895,1787
1972,Sep,1905,1879
1972,Oct,1897,1882
1972,Nov,1919,1759
1972,Dec,1980,1603
1973,Jan,1859,1571
1973,Feb,1916,1610
1973,Mar,1934,1764
1973,Apr,2109,1702
1973,May,2164,1903
1973,Jun,2382,2154
